"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url"
"Spirit Communications - Charlotte, NC","4211","33.056","4.827","0","1854435","1450315","23797880","5828200","https://www.speedtest.net/result/c/f68bb31a-25dd-4849-900d-9645a68bb071"
"Spirit Communications - Charlotte, NC","4211","29.815","3.252","0","2086072","1318196","8407088","5172256","https://www.speedtest.net/result/c/1696dd9b-6c55-4e68-b757-744d288dd06e"
"AT&T - Charlotte, NC","5028","34.243","3.133","N/A","1772743","1381873","10170752","15399417","https://www.speedtest.net/result/c/d9bef2db-472f-474b-bd82-d9c80f84d5b1"
"Comporium - Rock HIll, SC","12784","30.171","5.618","N/A","1913975","1441105","21208856","5787656","https://www.speedtest.net/result/c/c8516dfb-83fb-4ac2-82bb-c1df159a67bf"
"Spirit Communications - Charlotte, NC","4211","25.203","6.309","0","1899874","1420647","10825248","6989496","https://www.speedtest.net/result/c/041ba97a-087b-4863-9a9f-353943b97961"
"AT&T - Charlotte, NC","5028","34.845","4.098","N/A","2008262","1502567","28844160","9472738","https://www.speedtest.net/result/c/34cbedba-b88a-4d56-824c-af370438a3bc"
"Comporium - Rock HIll, SC","12784","34.349","1.268","N/A","1551406","1442976","16960424","5946936","https://www.speedtest.net/result/c/c507a948-adcb-47d8-8476-13099cfdc556"
"Spirit Communications - Charlotte, NC","4211","35.106","9.701","0","1986758","1422583","14453936","9826128","https://www.speedtest.net/result/c/2e4b4dbc-3525-49f0-9541-0b2febac1457"
"AT&T - Charlotte, NC","5028","31.223","3.535","N/A","1977295","1483104","10907784","10068598","https://www.speedtest.net/result/c/898b295b-4dd9-46f1-839e-56da2ebaccd6"
"Comporium - Rock HIll, SC","12784","29.887","4.306","N/A","2031298","1452856","15610888","5671816","https://www.speedtest.net/result/c/7a12e005-a9ab-465c-8cf2-8e6a06822e3c"
"Spirit Communications - Charlotte, NC","4211","35.487","3.838","0","2210396","1445159","28978824","8842936","https://www.speedtest.net/result/c/e6636e26-d9ad-43dd-879f-5b8c63f98071"
"AT&T - Charlotte, NC","5028","33.003","4.735","N/A","1951150","1504632","8611256","9552119","https://www.speedtest.net/result/c/b0cd34ee-7b3e-499c-921f-e710d1e517d9"
"Comporium - Rock HIll, SC","12784","34.576","6.992","N/A","2018074","1460620","7457200","6014992","https://www.speedtest.net/result/c/4ba69a8c-b5fb-49e2-a689-f36d4f85b139"
"Spirit Communications - Charlotte, NC","4211","33.887","2.15","0","1869493","1436586","26599760","8938504","https://www.speedtest.net/result/c/72250207-60c9-4f0d-a366-b472c7528ae8"
"AT&T - Charlotte, NC","5028","29.684","6.005","N/A","1868149","1463414","9855088","13184372","https://www.speedtest.net/result/c/417c9d5e-d396-4558-9214-a1275134825f"
"Comporium - Rock HIll, SC","12784","29.71","3.541","N/A","2116552","1453180","25865624","5994720","https://www.speedtest.net/result/c/4948edab-3e10-4012-8711-d0af102d5d9e"
"Spirit Communications - Charlotte, NC","4211","34.688","3.081","0","1993613","1445405","11433408","5209904","https://www.speedtest.net/result/c/3d51830f-5308-4b7b-b717-1c138d9c2823"
"AT&T - Charlotte, NC","5028","31.341","3.405","N/A","1806709","1485476","25513760","9602681","https://www.speedtest.net/result/c/d022b21c-07d5-4aa9-aa04-42bb11833472"
"Comporium - Rock HIll, SC","12784","30.058","4.443","N/A","1941340","1445285","18024704","8812528","https://www.speedtest.net/result/c/0009718d-eecd-4e9f-81b8-05fa8d1a3a8f"
"Spirit Communications - Charlotte, NC","4211","29.279","3.858","0","1742784","1463565","17644792","6033816","https://www.speedtest.net/result/c/ceaa1723-7dee-4651-9e1d-f7fa59187d1e"
"AT&T - Charlotte, NC","5028","27.194","9.189","N/A","2022974","1394934","27432360","15939035","https://www.speedtest.net/result/c/d2d503c2-056a-4e21-9a9c-e86e38322ee2"
"Comporium - Rock HIll, SC","12784","27.201","3.848","N/A","1966838","1440760","15056304","6075808","https://www.speedtest.net/result/c/f7f61e83-549a-42d5-a441-42b4a8592357"
"Spirit Communications - Charlotte, NC","4211","30.122","6.185","0","1630853","1464896","10525512","6148208","https://www.speedtest.net/result/c/945d77df-f97f-4694-9d4a-4fe35db83bb1"
"AT&T - Charlotte, NC","5028","36.449","2.841","N/A","2121513","1487155","26048520","9004969","https://www.speedtest.net/result/c/b48fa782-5fd6-40cf-93cf-2483a7c4bd29"
"Comporium - Rock HIll, SC","12784","27.091","5.991","N/A","2035146","1407627","29915680","9758072","https://www.speedtest.net/result/c/63d3c3e8-191e-4141-ac32-15c7bc392e3e"
"Spirit Communications - Charlotte, NC","4211","34.271","1.504","0","1539729","1445154","17661256","5964312","https://www.speedtest.net/result/c/cb38353e-081f-46e2-a087-d571214f4dbb"
"AT&T - Charlotte, NC","5028","29.475","2.976","N/A","2458887","1466735","15925104","10452926","https://www.speedtest.net/result/c/eddb6298-a8f9-4c92-86b8-50eec9c39ba6"
"Comporium - Rock HIll, SC","12784","29.878","7.211","N/A","2061036","1425551","24411832","7280544","https://www.speedtest.net/result/c/5f8c1e37-7114-4fd7-901f-4642a211d556"
"Spirit Communications - Charlotte, NC","4211","69.246","4.57","0","2398025","1305516","29715856","8302832","https://www.speedtest.net/result/c/46042109-0093-4695-ae53-ec2837c94f32"
"AT&T - Charlotte, NC","5028","33.961","1.174","N/A","1670808","1493571","22501920","8990528","https://www.speedtest.net/result/c/7b53f9c1-032a-4b37-831e-8ee23e2478fe"
"Comporium - Rock HIll, SC","12784","28.169","5.135","N/A","2034868","1425067","22345536","10441528","https://www.speedtest.net/result/c/49fa2eb0-024d-428f-97df-7112a5fefc7d"
