"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url"
"TruVista - Chester, SC","15380","36.209","2.359","N/A","11228804","1461425","159459552","5579144","https://www.speedtest.net/result/c/ad7d86c1-abfa-49ed-92f9-566d43c7356f"
"Spirit Communications - Charlotte, NC","4211","34.525","4.647","12.6667","11152499","1433401","150041760","6180064","https://www.speedtest.net/result/c/f0b8248d-ff02-4de5-bd89-40c410da1344"
"AT&T - Charlotte, NC","5028","30.713","6.395","N/A","10618318","1315685","111338616","18201232","https://www.speedtest.net/result/c/19c02801-844e-4660-8b48-08b26eb4b178"
"Comporium - Rock HIll, SC","12784","28.898","4.788","N/A","11228224","1428050","104254552","9041312","https://www.speedtest.net/result/c/44ef2a22-d9c7-4a8a-8537-300538e153ab"
"Spirit Communications - Charlotte, NC","4211","34.987","4.337","7.33333","11233376","1461116","152355664","5860056","https://www.speedtest.net/result/c/69cc2788-4dd3-4463-9987-2e3ee2f73ba0"
"AT&T - Charlotte, NC","5028","30.174","3.256","N/A","10955133","1456239","152139912","9046087","https://www.speedtest.net/result/c/4c0f7267-02c6-423f-8162-ba010a894998"
"Comporium - Rock HIll, SC","12784","34.807","4.614","N/A","11209648","1457079","108172840","5266376","https://www.speedtest.net/result/c/26bd1637-e2e9-4788-99c2-d483845c6611"
"Spirit Communications - Charlotte, NC","4211","27.933","4.27","9.0301","11181268","1447699","151572296","10706512","https://www.speedtest.net/result/c/bb1542d7-49ab-4e79-a60c-b11fb10579d4"
"AT&T - Charlotte, NC","5028","25.155","5.5","N/A","11131311","1472868","154697528","10649810","https://www.speedtest.net/result/c/44116ca4-c8f7-40bb-930a-31f7eba79ed2"
"Comporium - Rock HIll, SC","12784","30.213","8.005","N/A","10818078","1464244","77120480","6285768","https://www.speedtest.net/result/c/264a01aa-edd7-4e6e-8047-144119c33595"
"Spirit Communications - Charlotte, NC","4211","31.816","7.007","12","11183436","1449761","153961496","12089352","https://www.speedtest.net/result/c/284c363a-2361-4de2-bdf4-1e540c21f214"
"AT&T - Charlotte, NC","5028","34.396","2.983","N/A","10793687","1470836","113416048","8559308","https://www.speedtest.net/result/c/11122b70-6265-4aab-bdea-fdedaf954654"
"Comporium - Rock HIll, SC","12784","29.654","2.016","N/A","10943723","1456118","96824864","6872208","https://www.speedtest.net/result/c/b932d97b-cdfd-4eb8-8073-89863e1d9602"
