"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url"
"Comporium - Rock HIll, SC","12784","31.702","3.281","N/A","11036582","1407770","118744688","6083048","https://www.speedtest.net/result/c/0acd66c1-be2d-48ed-895e-0229552b9870"
"Spirit Communications - Charlotte, NC","4211","30.237","3.147","11.3712","10924082","1407383","148450408","5092616","https://www.speedtest.net/result/c/c32ba2b7-77bb-4405-8e32-06bce50b281e"
"AT&T - Charlotte, NC","5028","29.034","4.851","N/A","11180029","1443247","154249648","9572663","https://www.speedtest.net/result/c/1a71571e-6ceb-43a8-ac1b-97ed590ae935"
"Comporium - Rock HIll, SC","12784","29.41","2.028","N/A","10980535","1449566","87968896","8569264","https://www.speedtest.net/result/c/5f6a00bf-8c49-4bbd-b57a-1a8a496db960"
"Spirit Communications - Charlotte, NC","4211","32.168","3.721","15.7191","11222239","1457138","152555488","5867296","https://www.speedtest.net/result/c/d339e09c-e6e9-4619-a088-583e4060c771"
"AT&T - Charlotte, NC","5028","33.707","4.711","N/A","11248587","1475526","153354784","11656619","https://www.speedtest.net/result/c/9c2e3eef-9cee-411e-91e9-41e45dae73bd"
"Comporium - Rock HIll, SC","12784","30.422","3.923","N/A","11085334","1459621","104082240","13014624","https://www.speedtest.net/result/c/42a95025-7098-4ad6-804c-069d4970fb7b"
"Spirit Communications - Charlotte, NC","4211","34.257","2.388","11.3333","11141902","1457387","151608744","10623976","https://www.speedtest.net/result/c/12024e70-1b36-4570-869a-b6cb5eb18613"
"AT&T - Charlotte, NC","5028","36.452","5.277","N/A","11043429","1486633","144262792","9855639","https://www.speedtest.net/result/c/3a7644b3-f495-4935-86c2-73733dbf4fad"
"Comporium - Rock HIll, SC","12784","35.27","3.854","N/A","11223042","1431241","117393704","6177168","https://www.speedtest.net/result/c/45837762-5f99-43e8-ab04-0d1499630f05"
"Spirit Communications - Charlotte, NC","4211","40.401","18.023","11.3333","11165092","1455920","153079664","6145312","https://www.speedtest.net/result/c/4d48d2d4-527a-41cc-8dd6-950463280ff8"
"AT&T - Charlotte, NC","5028","32.693","4.902","N/A","10972062","1464341","121532088","11336246","https://www.speedtest.net/result/c/8908692d-f19f-4465-9c45-2528d7508541"
"Comporium - Rock HIll, SC","12784","29.379","3.104","N/A","11223865","1410700","102085448","10341616","https://www.speedtest.net/result/c/ab6e0c5e-0042-4c08-afd3-6bd9a7e7531d"
