"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url"
"Comporium - Rock HIll, SC","12784","41.346","6.925","N/A","8246890","1440865","88973808","6207576","https://www.speedtest.net/result/c/2dc3b4a0-d7c6-45ce-9ded-cc5856b98091"
"Spirit Communications - Charlotte, NC","4211","40.118","6.854","0","9213897","1447445","125779072","10734024","https://www.speedtest.net/result/c/61819e1a-7a9d-44e7-b4ca-3c89ec9ffe96"
"AT&T - Charlotte, NC","5028","36.327","4.849","N/A","7497461","1489347","89867224","14119945","https://www.speedtest.net/result/c/7bca1241-938d-4b85-8c59-52b68b0b7c0b"
"Comporium - Rock HIll, SC","12784","39.332","2.934","N/A","7268132","1407550","65135384","7054656","https://www.speedtest.net/result/c/95597c41-c41f-4045-b88d-85fec7d925b1"
"Spirit Communications - Charlotte, NC","4211","33.101","2.655","0","7414580","1461305","65113912","8019024","https://www.speedtest.net/result/c/903d30fc-a4dc-471e-aaed-424a89418f44"
"AT&T - Charlotte, NC","5028","39.426","3.601","N/A","6673778","1314737","59202640","15207084","https://www.speedtest.net/result/c/40498a78-3964-4c6f-a4c1-5b67224341ff"
"Comporium - Rock HIll, SC","12784","43.611","4.77","N/A","10183312","1437519","132186720","8058120","https://www.speedtest.net/result/c/960c0d72-112c-49f3-92ae-4c38c11eff66"
"Spirit Communications - Charlotte, NC","4211","38.071","8.332","0","7629644","1438578","59049688","5332984","https://www.speedtest.net/result/c/4d5c0a43-0afd-4687-913f-e287c363ca64"
"AT&T - Charlotte, NC","5028","33.722","4.323","N/A","9494150","1115482","88747064","10949283","https://www.speedtest.net/result/c/868df041-5582-419f-be81-68b5e81a448b"
"Comporium - Rock HIll, SC","12784","44.779","14.514","N/A","10121616","1042214","138747608","12332616","https://www.speedtest.net/result/c/5a8aa397-b361-4365-a644-61a5b20d37f3"
"Spirit Communications - Charlotte, NC","4211","38.329","2.792","0","10449786","1415063","136349720","5421312","https://www.speedtest.net/result/c/73bf3467-1782-4994-a72f-0ce711e1fec7"
"AT&T - Charlotte, NC","5028","33.243","22.303","N/A","9956638","1483943","137234200","7399377","https://www.speedtest.net/result/c/4df23c2d-973d-4648-8d6e-5d1c73e19952"
"Comporium - Rock HIll, SC","12784","33.684","4.221","N/A","10433110","1400594","92621568","6041056","https://www.speedtest.net/result/c/5eceb679-d4f7-4b1c-ba4e-f1a6c935a02e"
