"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url"
"Spirit Communications - Columbia, SC","4265","33.148","6.712","0","28959441","1311428","345721672","14126688","https://www.speedtest.net/result/c/ae300db7-c5d6-4951-9901-884216ed329b"
"Spirit Communications - Charlotte, NC","4211","40.699","7.825","0","25881198","1329886","309367648","10999008","https://www.speedtest.net/result/c/0b6c41a2-eed4-4851-9a00-be230847573c"
"AT&T - Charlotte, NC","5028","29.707","4.173","N/A","29252621","1467550","372740440","10721600","https://www.speedtest.net/result/c/9af54a9c-933b-4424-b7ce-47a431d6fed9"
"Comporium - Rock HIll, SC","12784","28.68","5.297","N/A","29130567","1421020","282914792","7966896","https://www.speedtest.net/result/c/fcff1819-82bb-4449-bd3a-8f5d9480b335"
"Spirit Communications - Charlotte, NC","4211","35.274","4.287","0","27816249","1429856","349612402","5599416","https://www.speedtest.net/result/c/5a40bcf7-2f9a-499a-b329-24156f6764f3"
"AT&T - Charlotte, NC","5028","32.451","2.143","N/A","26945106","1409306","359666240","9275650","https://www.speedtest.net/result/c/8abc6651-4c03-49ba-b051-7a49427d01df"
"Comporium - Rock HIll, SC","12784","36.092","1.196","N/A","29497952","1345870","401214584","9931832","https://www.speedtest.net/result/c/a93ee405-8c59-49fb-b69a-f08b1cd783f0"
"Spirit Communications - Charlotte, NC","4211","32.289","16.719","0","24814224","1403110","300122328","10797736","https://www.speedtest.net/result/c/423eee1b-1bc2-4010-ae76-5820a1de30c3"
"AT&T - Charlotte, NC","5028","34.646","5.42","N/A","25736986","1427229","303188738","15385348","https://www.speedtest.net/result/c/c0f00639-af5b-4f05-baf1-2f9874565e38"
"Comporium - Rock HIll, SC","12784","31.881","3.261","N/A","28491251","1406836","403846376","16874992","https://www.speedtest.net/result/c/36b68554-bd0c-4a64-9528-f142345b3353"
"Spirit Communications - Charlotte, NC","4211","39.033","4.573","0","25745947","1355774","309616864","10815112","https://www.speedtest.net/result/c/13620f56-71c8-4d61-93fc-60249a49690b"
"AT&T - Charlotte, NC","5028","28.651","3.893","N/A","23700291","1360213","240137841","11433573","https://www.speedtest.net/result/c/14751dd5-0cee-4b35-8c04-b351b89c8231"
"Comporium - Rock HIll, SC","12784","34.799","4.25","N/A","29102363","1414640","320053512","19831808","https://www.speedtest.net/result/c/9e780d0a-295d-44dd-b296-b5fa2e7250cf"
