"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url"
"TruVista - Chester, SC","15380","36.854","6.137","N/A","28686911","1434467","277426376","19805744","https://www.speedtest.net/result/c/13e68f67-e72b-4ae3-909d-bd7cb229b90f"
"Spirit Communications - Charlotte, NC","4211","39.508","126.839","0","27267252","1323591","326885722","10577640","https://www.speedtest.net/result/c/f5d4ca7a-fbc5-409a-8b91-dfeca4c31781"
"AT&T - Charlotte, NC","5028","30.861","0.962","N/A","27331113","1451474","348439192","14786513","https://www.speedtest.net/result/c/30068506-8b0d-42ea-a648-91e16cbc0b23"
"Comporium - Rock HIll, SC","12784","48.659","38.889","N/A","29074008","1407820","407988640","17119704","https://www.speedtest.net/result/c/07a2028b-fb03-4684-a322-458e89a14cce"
"Spirit Communications - Charlotte, NC","4211","30.077","8.812","0","25135760","1339516","276165544","14842000","https://www.speedtest.net/result/c/b3841f62-5a8f-45d1-88ab-b8e7b0f6289d"
"AT&T - Charlotte, NC","5028","29.965","4.065","N/A","25651711","1473640","318702961","16288729","https://www.speedtest.net/result/c/df942f2a-fa1e-46b9-8990-c57473ad9a74"
"Comporium - Rock HIll, SC","12784","35.185","2.806","N/A","29121052","1108474","413688354","14048496","https://www.speedtest.net/result/c/3fce368d-4f5e-45ec-a164-6cf7573f2096"
"Spirit Communications - Charlotte, NC","4211","49.371","19.056","0","27003575","1356153","352188194","10321344","https://www.speedtest.net/result/c/e96e3415-b9e1-4c5a-869b-6558a33ec8a8"
"AT&T - Charlotte, NC","5028","30.012","4.957","N/A","26500144","1388478","340872320","20395632","https://www.speedtest.net/result/c/7508a12f-44d2-4faa-b8f2-e34124a6a2a1"
"Comporium - Rock HIll, SC","12784","30.971","5.558","N/A","28936263","1327878","313168808","8895064","https://www.speedtest.net/result/c/4ec11082-1508-4e1f-a651-53f071be5477"
"Spirit Communications - Charlotte, NC","4211","35.499","4.83","0","26605329","1379908","315618288","15099744","https://www.speedtest.net/result/c/f7d114fa-b712-43ea-a9ab-817db0a65665"
"AT&T - Charlotte, NC","5028","48.885","20.566","N/A","25208350","1421509","281131496","9452657","https://www.speedtest.net/result/c/6d9f0bdb-9d29-47c0-832a-2af6cc8c696d"
"Comporium - Rock HIll, SC","12784","39.119","49.106","N/A","28854450","1357686","300476114","12795976","https://www.speedtest.net/result/c/25dcc8f2-aaae-4b03-9e69-5db430802d72"
